ReadDDT,FindSuitableComponents,AnalyzingAssemblies,TotalTime
2.062,2.266,14.531,18.859
0.625,1.969,13.203,15.797
0.703,1.984,12.875,15.578
0.609,1.875,13.032,15.516
0.734,2.094,13.265,16.093
0.641,1.875,13.171,15.687
0.719,2.047,13.000,15.766
0.563,1.890,12.375,14.828
0.703,2.078,12.860,15.641
0.578,1.859,13.157,15.594
0.718,1.969,13.125,15.812
0.563,1.890,12.688,15.141
0.719,2.656,13.078,16.453
0.579,1.968,12.750,15.297
0.719,1.953,13.000,15.672
0.578,1.922,13.063,15.563
0.734,1.984,13.297,16.015
0.578,1.875,13.000,15.453
0.704,1.984,12.984,15.672
0.594,1.875,13.016,15.485
0.718,1.985,13.187,15.890
0.578,1.922,13.063,15.563
0.750,2.000,13.265,16.015
0.563,1.859,12.938,15.360
0.719,2.000,13.437,16.156
0.578,1.875,12.953,15.406
0.735,2.015,13.203,15.953
0.579,1.843,13.125,15.547
0.688,1.984,13.156,15.828
0.610,1.875,12.953,15.454
0.796,2.079,13.296,16.171
0.579,1.828,13.031,15.438
0.719,2.031,13.297,16.047
0.594,1.859,13.234,15.687
0.750,2.000,13.313,16.063
0.594,1.937,13.141,15.672
0.718,2.047,13.328,16.093
0.594,1.860,13.031,15.485
0.719,1.984,13.750,16.453
0.844,2.359,13.328,16.531
0.735,2.187,13.078,16.000
0.610,1.875,13.109,15.594
0.687,1.985,13.203,15.875
0.641,2.093,13.375,16.109
0.782,1.984,13.391,16.157
0.593,1.860,13.297,15.750
0.812,2.016,13.531,16.359
0.594,1.922,13.140,15.656
0.719,1.969,13.297,15.985
0.593,1.875,13.000,15.468
0.844,2.375,13.344,16.563
0.562,1.860,13.156,15.578
0.703,2.047,13.297,16.047
0.579,1.890,13.250,15.719
0.719,2.016,13.125,15.860
0.593,1.860,13.062,15.515
0.703,2.032,13.234,15.969
0.578,1.969,13.031,15.578
0.688,1.953,13.265,15.906
0.563,2.187,13.172,15.922
0.719,2.047,13.375,16.141
0.578,1.844,13.140,15.562
0.703,1.969,13.219,15.907
0.562,1.843,13.141,15.562
0.719,2.109,13.156,15.984
0.579,1.906,13.047,15.532
0.718,1.969,13.375,16.062
0.578,2.157,13.328,16.063
0.718,2.141,13.172,16.031
0.562,1.875,13.188,15.625
0.734,2.500,13.297,16.531
0.578,1.938,13.000,15.516
0.719,1.968,13.391,16.078
0.562,1.844,13.172,15.578
0.703,2.063,13.156,15.922
0.562,1.954,13.140,15.656
0.688,2.453,13.203,16.344
0.828,2.015,13.047,15.890
0.766,1.984,13.219,15.969
0.609,2.047,12.844,15.500
0.766,1.984,13.125,15.875
0.562,1.829,12.953,15.344
0.687,1.969,13.031,15.687
0.578,1.891,12.859,15.328
0.703,2.032,13.250,15.985
0.562,1.844,12.750,15.156
0.703,2.000,12.969,15.672
0.594,1.843,13.032,15.469
0.734,2.047,13.047,15.828
0.578,1.828,13.000,15.406
0.687,1.954,13.234,15.875
0.562,1.891,12.953,15.406
0.719,2.078,13.203,16.000
0.625,1.875,13.031,15.531
0.704,1.953,13.297,15.954
0.562,1.828,13.094,15.484
0.703,1.969,13.265,15.937
0.594,2.016,12.984,15.594
0.703,1.937,13.172,15.812
0.578,1.813,13.141,15.532
