ReadDDT,FindSuitableComponents,AnalyzingAssemblies,TotalTime
0.719,1.969,9.500,12.188
0.578,1.844,8.500,10.922
0.593,1.922,8.610,11.125
0.687,2.078,8.688,11.453
0.593,1.891,8.718,11.218
0.563,2.000,8.594,11.157
0.718,2.000,8.813,11.531
0.625,2.141,8.734,11.500
0.687,2.125,8.704,11.516
0.906,1.953,8.750,11.609
0.562,1.860,8.515,10.937
0.579,2.218,8.563,11.360
0.734,1.985,8.781,11.500
0.594,1.875,8.578,11.047
0.609,2.047,8.516,11.172
0.718,1.953,8.594,11.265
0.610,1.859,8.500,10.969
0.594,1.859,8.438,10.891
0.812,2.172,8.547,11.531
0.562,1.953,8.454,10.969
0.578,1.875,8.500,10.953
0.718,1.938,8.687,11.343
0.610,2.000,8.656,11.266
0.578,1.828,8.438,10.844
0.688,2.000,8.641,11.329
0.562,1.859,8.485,10.906
0.640,2.032,8.578,11.250
0.719,2.046,8.672,11.437
0.641,2.141,8.375,11.172
0.594,1.922,8.515,11.031
0.704,1.984,8.656,11.344
0.578,1.891,8.469,10.938
0.578,1.844,8.468,10.890
0.719,1.984,8.766,11.469
0.578,1.891,8.640,11.109
0.594,2.110,8.484,11.188
0.703,1.969,8.719,11.391
0.593,1.828,8.547,10.968
0.641,1.922,8.469,11.032
0.765,2.031,8.766,11.562
0.578,1.860,8.609,11.047
0.594,1.843,8.547,10.984
0.735,1.984,8.766,11.485
0.562,1.860,8.593,11.031
0.578,1.828,8.469,10.875
0.703,1.969,8.719,11.391
0.609,1.828,8.547,10.984
0.578,1.813,8.312,10.703
0.688,1.984,8.797,11.469
0.672,1.890,8.641,11.203
0.562,1.891,8.578,11.031
0.719,1.984,8.750,11.453
0.594,1.844,8.437,10.875
0.657,1.890,8.875,11.422
0.750,2.000,8.781,11.531
0.594,2.016,8.562,11.172
0.563,1.859,8.610,11.032
0.703,1.937,8.797,11.437
0.594,1.828,8.516,10.938
0.578,1.984,8.672,11.234
0.703,1.938,8.734,11.375
0.578,2.063,8.531,11.172
0.687,2.438,8.875,12.000
0.828,1.953,8.750,11.531
0.594,1.844,8.531,10.969
0.562,2.000,8.594,11.156
0.750,1.938,8.687,11.375
0.578,2.141,8.609,11.328
0.563,1.828,8.609,11.000
0.719,1.969,8.828,11.516
0.609,1.844,8.484,10.937
0.563,1.859,8.594,11.016
0.703,2.063,8.781,11.562
0.610,1.890,8.516,11.016
0.594,1.859,8.703,11.156
0.719,2.063,8.718,11.500
0.578,1.891,8.547,11.016
0.578,1.828,8.688,11.094
0.734,1.969,8.703,11.406
0.594,1.859,8.734,11.187
0.625,1.860,8.437,10.922
0.703,1.954,8.781,11.438
0.594,1.828,8.687,11.109
0.594,1.922,8.437,10.953
0.750,2.157,8.765,11.672
0.594,1.844,8.578,11.016
0.578,1.937,8.532,11.047
0.703,2.047,8.735,11.515
0.594,1.828,8.672,11.094
0.578,1.860,8.515,10.953
0.735,2.000,8.859,11.594
0.578,1.844,8.640,11.062
0.625,1.875,8.532,11.032
0.718,2.125,8.766,11.609
0.578,1.875,8.563,11.031
0.563,1.875,8.437,10.875
0.688,2.000,8.703,11.391
0.609,1.828,8.579,11.016
0.578,1.859,8.594,11.031
0.703,2.172,8.812,11.687
