ReadDDT,FindSuitableComponents,AnalyzingAssemblies,TotalTime
1.063,4.297,3741.500,3746.985
0.984,3.500,3734.703,3739.328
0.969,3.453,3726.594,3731.156
0.906,3.547,3735.360,3739.938
1.015,3.625,3725.219,3729.984
0.922,3.859,3728.672,3733.578
0.938,3.500,3729.312,3733.875
0.969,3.484,3734.532,3739.110
0.953,3.422,3711.828,3716.328
1.015,3.453,3723.016,3727.609
0.969,3.500,3714.969,3719.563
0.968,3.500,3727.110,3731.703
1.000,3.437,3714.875,3719.437
0.984,3.469,3725.015,3729.609
0.985,3.593,3720.625,3725.328
0.969,3.531,3728.063,3732.688
0.937,3.485,3729.750,3734.312
0.953,3.532,3717.922,3722.547
0.938,3.453,3715.703,3720.235
1.109,3.469,3728.390,3733.093
0.969,3.547,3724.375,3729.016
0.969,3.562,3725.063,3729.719
1.032,3.515,3733.453,3738.125
1.000,3.484,3730.391,3735.032
0.984,3.625,3738.344,3743.078
1.125,3.563,3741.828,3746.641
0.984,3.453,3732.797,3737.359
1.000,3.469,3731.891,3736.485
1.000,3.421,3732.735,3737.281
0.953,3.422,3732.578,3737.078
1.109,3.516,3737.266,3742.016
0.984,3.422,3727.500,3732.046
1.000,3.454,3729.046,3733.625
0.969,3.500,3721.922,3726.516
0.984,3.500,3732.282,3736.891
1.000,3.484,3723.500,3728.109
1.063,3.640,3737.797,3742.625
0.969,3.469,3716.578,3721.141
1.047,3.671,3728.735,3733.593
0.922,3.532,3727.265,3731.844
0.953,3.469,3734.297,3738.860
0.937,3.641,3722.015,3726.718
0.953,3.469,3728.110,3732.657
0.953,3.484,3725.219,3729.781
0.937,3.500,3732.078,3736.640
0.938,3.422,3720.531,3725.032
0.968,3.438,3731.578,3736.109
0.969,3.500,3719.578,3724.172
1.000,3.547,3734.062,3738.734
0.953,3.438,3728.546,3733.062
0.985,3.547,3731.890,3736.547
0.938,3.547,3713.359,3717.985
0.968,3.407,3731.750,3736.265
0.953,3.469,3727.860,3732.407
0.984,3.422,3731.422,3735.968
1.000,3.547,3713.781,3718.453
1.000,4.000,3715.000,3720.125
0.953,3.516,3726.187,3730.781
1.000,3.578,3733.797,3738.500
0.969,3.703,3735.281,3740.094
0.969,3.609,3729.735,3734.438
0.968,4.469,3722.891,3728.453
0.984,3.500,3740.375,3744.984
0.969,3.500,3751.812,3756.406
1.000,3.453,3711.250,3715.828
0.985,3.437,3711.282,3715.844
1.047,3.531,3738.750,3743.453
1.203,3.735,3750.547,3755.610
0.984,3.609,3712.907,3717.625
0.968,3.485,3740.703,3745.281
0.953,3.453,3741.016,3745.547
1.000,3.500,3743.781,3748.406
0.953,3.516,3738.422,3743.016
0.984,3.594,3744.484,3749.187
1.000,3.688,3733.672,3738.485
0.937,3.563,3750.515,3755.140
1.000,3.578,3746.203,3750.906
0.969,3.453,3739.907,3744.454
0.953,3.610,3743.812,3748.500
0.969,8.109,3738.516,3747.719
0.984,3.485,3741.859,3746.453
0.953,8.047,3722.281,3731.406
0.922,8.235,3731.000,3740.282
0.953,3.515,3730.344,3734.937
0.953,3.532,3734.109,3738.719
0.953,3.516,3737.422,3742.031
0.953,3.485,3724.234,3728.797
1.031,3.500,3718.703,3723.359
0.954,3.390,3727.672,3732.157
0.953,3.406,3730.563,3735.062
0.969,3.547,3734.312,3738.953
0.953,3.563,3735.328,3739.969
1.000,3.484,3736.672,3741.281
0.969,3.531,3729.578,3734.219
0.938,3.578,3733.734,3738.391
0.968,3.500,3725.047,3729.640
0.985,3.718,3727.907,3732.735
0.953,3.594,3737.578,3742.250
1.000,3.468,3763.079,3767.672
0.953,3.453,3721.328,3725.875
